DATE,DAILY_NET_SALES_UOM_QTY
12/1/2012,199
7/12/2013,127
10/26/14,235
7/9/2015,206
2/12/2014,179
6/24/11,116
3/9/2016,218
11/23/10,113
3/20/12,134
12/2/2012,220
7/10/2015,168
7/13/13,124
3/21/12,152
11/24/10,52
11/16/16,168
12/3/2012,184
6/25/11,120
10/27/14,198
2/13/14,159
3/10/2016,246
11/25/10,
7/11/2015,194
7/14/13,179
3/22/12,128
6/26/11,136
12/4/2012,167
11/26/10,93
7/12/2015,202
11/17/16,196
2/14/14,140
6/27/11,129
7/15/13,159
12/5/2012,138
10/28/14,147
3/23/12,137
3/11/2016,204
11/27/10,124
7/13/15,208
6/28/11,119
3/24/12,173
7/16/13,154
12/6/2012,166
11/28/10,161
11/18/16,194
7/14/15,187
10/29/14,139
2/15/14,170
6/29/11,113
3/25/12,202
3/12/2016,270
12/7/2012,151
7/17/13,162
11/29/10,115
7/15/15,184
6/30/11,137
3/26/12,157
11/19/16,235
11/30/10,91
7/18/13,175
2/16/14,216
10/30/14,151
7/16/15,174
12/8/2012,228
3/13/16,287
7/1/2011,124
3/27/12,161
12/1/2010,95
7/19/13,140
7/17/15,157
11/20/16,240
12/9/2012,255
3/28/12,152
12/2/2010,98
7/2/2011,94
10/31/14,123
2/17/14,200
7/20/13,171
3/14/16,257
7/18/15,167
3/29/12,161
12/10/2012,200
12/3/2010,94
7/3/2011,139
11/21/16,274
7/21/13,183
7/4/2011,
11/1/2014,243
2/18/14,191
7/19/15,219
12/11/2012,148
3/30/12,144
12/4/2010,143
7/22/13,187
7/5/2011,156
3/15/16,224
11/22/16,246
7/20/15,217
12/5/2010,162
3/31/12,204
12/12/2012,149
7/23/13,126
7/6/2011,106
2/19/14,154
11/2/2014,246
7/21/15,185
11/23/16,270
4/1/2012,234
3/16/16,191
12/6/2010,159
12/13/12,134
7/24/13,147
7/7/2011,113
7/22/15,163
4/2/2012,161
11/24/16,
12/7/2010,143
11/3/2014,207
2/20/14,154
7/8/2011,126
12/14/12,142
7/25/13,130
7/23/15,163
3/17/16,180
12/8/2010,104
4/3/2012,140
7/9/2011,108
12/15/12,188
7/26/13,157
7/24/15,160
4/4/2012,170
7/10/2011,164
2/21/14,162
11/25/16,155
11/4/2014,192
12/9/2010,105
12/16/12,217
7/27/13,154
7/25/15,172
3/18/16,198
4/5/2012,138
12/10/2010,93
7/11/2011,138
12/17/12,167
7/28/13,184
2/22/14,185
7/26/15,220
11/5/2014,192
12/11/2010,122
4/6/2012,163
11/26/16,205
12/18/12,195
7/12/2011,104
7/29/13,145
3/19/16,187
7/27/15,240
4/7/2012,172
12/12/2010,182
7/13/11,119
12/19/12,158
7/30/13,158
11/6/2014,165
2/23/14,243
7/28/15,148
4/9/2012,181
11/27/16,280
12/13/10,100
7/14/11,161
12/20/12,176
3/20/16,308
7/31/13,162
7/29/15,136
4/10/2012,178
12/14/10,118
12/21/12,169
7/15/11,120
11/7/2014,148
8/1/2013,146
2/24/14,190
11/28/16,206
7/30/15,150
4/11/2012,141
12/15/10,110
3/21/16,262
7/16/11,82
12/22/12,211
8/2/2013,176
11/8/2014,220
2/25/14,168
7/31/15,145
4/12/2012,168
12/16/10,99
11/29/16,238
8/3/2013,165
7/17/11,169
12/23/12,223
3/22/16,181
8/1/2015,144
2/26/14,130
7/18/11,162
4/13/12,159
12/17/10,110
11/9/2014,235
8/4/2013,219
12/24/12,217
11/30/16,186
12/25/12,
8/2/2015,224
3/23/16,183
7/19/11,115
12/18/10,145
8/5/2013,198
4/14/12,186
2/27/14,169
8/3/2015,237
12/19/10,169
12/26/12,156
11/10/2014,254
8/6/2013,156
12/1/2016,217
4/15/12,211
7/20/11,119
3/24/16,196
8/4/2015,194
12/20/10,126
12/27/12,163
8/7/2013,165
7/21/11,100
4/16/12,148
2/28/14,158
8/5/2015,187
12/2/2016,151
12/21/10,126
12/28/12,153
4/17/12,150
8/8/2013,178
11/11/2014,202
7/22/11,123
3/25/16,189
8/6/2015,216
12/22/10,126
3/1/2014,245
12/29/12,185
8/9/2013,158
7/23/11,124
4/18/12,127
12/3/2016,278
12/23/10,162
8/7/2015,163
11/12/2014,157
12/30/12,189
8/10/2013,157
4/19/12,140
3/26/16,203
7/24/11,106
12/24/10,125
3/2/2014,249
12/4/2016,251
12/25/10,
8/8/2015,165
8/11/2013,207
7/25/11,116
12/31/12,179
4/20/12,138
11/13/14,158
12/26/10,103
3/28/16,267
1/1/2013,
3/3/2014,196
8/9/2015,234
7/26/11,131
4/21/12,134
12/27/10,147
8/12/2013,175
12/5/2016,240
1/2/2013,228
8/10/2015,224
11/14/14,141
12/28/10,142
4/22/12,188
7/27/11,83
8/13/13,133
3/4/2014,163
3/29/16,223
1/3/2013,215
8/11/2015,211
12/6/2016,192
12/29/10,117
4/23/12,158
7/28/11,109
8/14/13,158
1/4/2013,182
8/12/2015,201
11/15/14,209
12/30/10,146
4/24/12,132
3/5/2014,173
7/29/11,100
8/15/13,181
3/30/16,240
1/5/2013,230
12/7/2016,192
8/13/15,166
12/31/10,125
4/25/12,140
7/30/11,92
8/16/13,177
1/6/2013,259
1/1/2011,
8/14/15,168
11/16/14,282
4/26/12,144
3/6/2014,227
3/31/16,212
7/31/11,153
8/17/13,185
1/7/2013,223
12/8/2016,189
1/2/2011,163
8/15/15,201
1/8/2013,188
1/3/2011,149
8/1/2011,131
8/18/13,246
3/7/2014,180
11/17/14,203
12/9/2016,243
8/16/15,231
4/1/2016,234
1/9/2013,188
1/4/2011,118
8/2/2011,125
8/19/13,198
1/5/2011,123
8/17/15,234
8/3/2011,110
1/10/2013,180
4/27/12,117
8/20/13,160
3/8/2014,226
11/18/14,152
12/10/2016,281
4/2/2016,273
8/18/15,203
1/6/2011,145
8/4/2011,109
1/11/2013,167
4/28/12,135
8/21/13,152
3/9/2014,248
8/19/15,188
1/7/2011,153
8/22/13,141
11/19/14,157
12/11/2016,326
1/12/2013,219
8/5/2011,120
4/29/12,168
4/3/2016,384
8/20/15,174
1/8/2011,184
8/23/13,145
4/30/12,153
8/6/2011,117
1/13/13,232
3/10/2014,220
11/20/14,158
8/21/15,156
8/24/13,141
1/9/2011,183
8/7/2011,166
4/4/2016,274
5/1/2012,141
1/14/13,226
12/12/2016,285
3/11/2014,185
1/10/2011,138
8/22/15,210
8/23/15,238
8/24/15,238
8/8/2011,141
8/25/15,153
8/9/2011,96
8/26/15,180
5/2/2012,141
8/25/13,216
8/10/2011,127
8/27/15,142
5/3/2012,154
3/12/2014,157
8/11/2011,188
8/26/13,183
8/28/15,117
12/13/16,216
5/4/2012,137
8/12/2011,182
8/27/13,150
8/29/15,188
5/5/2012,161
3/13/14,141
8/13/11,169
8/28/13,150
8/30/15,245
12/14/16,203
5/6/2012,191
8/14/11,209
8/29/13,122
8/31/15,185
5/7/2012,162
3/14/14,147
8/15/11,127
12/15/16,191
9/1/2015,127
8/30/13,156
5/8/2012,143
8/16/11,120
9/2/2015,152
3/15/14,159
5/9/2012,116
8/31/13,156
12/16/16,240
8/17/11,108
9/3/2015,206
9/1/2013,204
5/10/2012,194
8/18/11,136
9/2/2013,
9/4/2015,167
12/17/16,246
3/16/14,246
5/11/2012,146
9/3/2013,207
8/19/11,141
9/5/2015,169
5/12/2012,165
9/4/2013,131
3/17/14,202
12/18/16,239
8/20/11,156
9/6/2015,215
5/13/12,203
9/5/2013,146
9/7/2015,
8/21/11,189
12/19/16,270
5/14/12,184
3/18/14,184
9/6/2013,158
9/8/2015,278
8/22/11,146
5/15/12,139
9/7/2013,168
9/9/2015,212
3/19/14,139
12/20/16,253
8/23/11,137
9/8/2013,181
5/16/12,151
9/10/2015,165
8/24/11,107
9/9/2013,230
5/17/12,126
3/20/14,172
12/21/16,217
9/11/2015,159
8/25/11,118
5/18/12,130
9/10/2013,173
9/12/2015,206
8/26/11,102
12/22/16,285
3/21/14,137
9/11/2013,131
5/19/12,111
9/13/15,228
8/27/11,115
5/20/12,220
9/12/2013,152
9/14/15,218
12/23/16,242
3/22/14,182
8/28/11,163
1/15/13,174
5/21/12,160
9/13/13,149
9/15/15,173
8/29/11,116
5/22/12,143
9/16/15,132
3/23/14,248
12/24/16,187
9/14/13,171
1/16/13,140
8/30/11,106
5/23/12,132
9/17/15,173
9/15/13,190
12/25/16,
1/17/13,166
8/31/11,100
5/24/12,139
3/24/14,205
9/18/15,154
9/16/13,176
9/1/2011,96
5/25/12,142
1/18/13,149
9/19/15,172
12/26/16,267
9/17/13,152
3/25/14,206
5/26/12,145
9/2/2011,123
9/20/15,246
1/19/13,197
9/18/13,155
5/27/12,175
9/3/2011,140
12/27/16,237
1/11/2011,123
9/21/15,198
3/26/14,173
5/28/12,
9/19/13,75
1/20/13,217
9/4/2011,123
9/22/15,128
1/12/2011,108
5/29/12,177
9/5/2011,
9/20/13,151
12/28/16,247
1/21/13,218
3/27/14,138
9/23/15,209
1/13/11,107
5/30/12,146
9/6/2011,165
9/21/13,161
1/22/13,155
9/24/15,149
1/14/11,104
5/31/12,122
9/7/2011,158
12/29/16,235
3/28/14,165
9/22/13,221
9/25/15,129
1/23/13,148
1/15/11,135
6/1/2012,130
9/8/2011,120
9/23/13,175
9/26/15,195
12/30/16,268
1/16/11,163
1/24/13,140
6/2/2012,165
3/29/14,199
9/24/13,184
9/9/2011,130
9/27/15,206
1/17/11,168
6/3/2012,208
9/25/13,138
9/10/2011,145
1/25/13,151
12/31/16,266
9/28/15,202
3/30/14,241
1/18/11,105
6/4/2012,147
9/11/2011,188
1/1/2017,
9/26/13,132
9/29/15,155
1/26/13,162
1/19/11,113
6/5/2012,156
3/31/14,191
9/12/2011,137
9/27/13,165
9/30/15,141
1/27/13,249
1/2/2017,332
1/20/11,89
6/6/2012,181
10/1/2015,183
9/13/11,101
9/28/13,146
1/28/13,175
1/21/11,97
6/7/2012,108
4/1/2014,171
1/3/2017,259
10/2/2015,163
9/14/11,85
9/29/13,238
1/29/13,126
1/22/11,118
6/8/2012,143
10/3/2015,237
9/30/13,172
9/15/11,129
4/2/2014,193
1/4/2017,261
1/30/13,119
6/9/2012,140
1/23/11,172
10/4/2015,234
10/1/2013,157
9/16/11,123
6/10/2012,189
1/31/13,143
1/24/11,140
10/5/2015,248
1/5/2017,297
11/21/14,216
4/3/2014,164
10/2/2013,149
9/17/11,120
6/11/2012,169
1/25/11,94
10/6/2015,184
2/1/2013,154
10/3/2013,162
6/12/2012,161
1/26/11,98
10/7/2015,163
9/18/11,166
1/6/2017,246
4/4/2014,164
2/2/2013,179
11/22/14,166
10/4/2013,162
6/13/12,121
1/27/11,86
10/8/2015,186
9/19/11,130
4/5/2016,210
2/3/2013,208
10/5/2013,158
10/9/2015,180
1/28/11,112
9/20/11,111
6/14/12,141
4/5/2014,197
1/7/2017,292
11/23/14,225
2/4/2013,193
10/6/2013,209
10/10/2015,207
9/21/11,99
1/29/11,132
6/15/12,107
4/6/2016,179
10/7/2013,203
2/5/2013,160
10/11/2015,269
4/6/2014,229
1/30/11,195
11/24/14,220
1/8/2017,216
9/22/11,90
10/8/2013,187
2/6/2013,165
10/12/2015,233
6/16/12,145
1/31/11,97
9/23/11,92
4/7/2016,610
10/9/2013,171
2/7/2013,172
10/13/15,202
4/7/2014,193
6/17/12,139
11/25/14,208
1/9/2017,298
2/1/2011,93
9/24/11,167
10/10/2013,148
10/14/15,162
6/18/12,151
2/8/2013,156
2/2/2011,74
4/8/2016,545
10/11/2013,153
9/25/11,173
1/10/2017,231
4/8/2014,179
11/26/14,149
10/15/15,148
6/19/12,159
2/3/2011,95
2/9/2013,153
10/12/2013,125
9/26/11,106
10/16/15,133
11/27/14,
2/4/2011,93
6/20/12,148
2/10/2013,184
4/9/2016,616
1/11/2017,290
10/13/13,189
9/27/11,89
4/9/2014,160
10/17/15,189
2/5/2011,108
6/21/12,146
2/11/2013,176
10/14/13,204
11/28/14,136
9/28/11,104
10/18/15,268
2/6/2011,137
6/22/12,126
1/12/2017,219
2/12/2013,159
10/15/13,143
4/10/2016,685
4/10/2014,192
9/29/11,83
10/19/15,217
2/13/13,137
2/7/2011,155
6/23/12,136
10/16/13,128
11/29/14,183
9/30/11,95
10/20/15,170
1/13/17,214
2/14/13,103
2/8/2011,128
4/11/2014,161
10/17/13,114
6/24/12,185
4/11/2016,629
10/1/2011,125
10/21/15,160
2/9/2011,118
2/15/13,139
6/25/12,164
11/30/14,221
10/18/13,136
10/2/2011,154
10/22/15,154
1/14/17,281
4/12/2016,375
2/10/2011,103
6/26/12,152
4/12/2014,218
2/16/13,192
10/19/13,180
10/23/15,151
10/3/2011,118
2/11/2011,116
12/1/2014,190
6/27/12,131
10/20/13,213
2/17/13,226
10/24/15,206
1/15/17,310
10/4/2011,135
4/13/16,407
4/13/14,259
2/12/2011,150
6/28/12,133
10/25/15,256
2/18/13,210
10/21/13,153
10/5/2011,129
12/2/2014,139
2/13/11,141
6/29/12,153
10/26/15,197
1/16/17,310
10/22/13,152
2/14/11,122
10/6/2011,136
4/14/16,433
2/19/13,161
4/14/14,192
6/30/12,121
10/27/15,164
10/23/13,161
12/3/2014,157
2/15/11,117
10/7/2011,123
7/1/2012,180
2/20/13,154
1/17/17,286
10/28/15,146
10/24/13,142
4/15/14,198
2/16/11,112
10/8/2011,155
4/15/16,410
2/21/13,154
7/2/2012,153
10/29/15,191
12/4/2014,175
10/25/13,146
2/17/11,94
1/18/17,247
10/9/2011,173
7/3/2012,150
2/22/13,127
4/16/14,141
10/30/15,146
2/18/11,118
10/10/2011,136
2/23/13,178
10/26/13,166
7/4/2012,
4/16/16,508
12/5/2014,156
1/19/17,320
2/19/11,160
10/31/15,200
10/11/2011,101
2/24/13,239
7/5/2012,183
4/17/14,156
10/27/13,251
12/6/2014,196
2/20/11,158
4/17/16,539
11/1/2015,260
10/12/2011,90
1/20/17,240
2/25/13,178
7/6/2012,180
10/28/13,183
2/21/11,126
4/18/14,154
11/2/2015,219
10/13/11,118
10/29/13,137
7/7/2012,134
12/7/2014,260
2/26/13,152
2/22/11,147
11/3/2015,213
4/18/16,470
1/21/17,338
7/8/2012,186
4/19/14,152
10/14/11,112
10/30/13,168
2/27/13,136
2/23/11,117
11/4/2015,198
12/8/2014,205
7/9/2012,148
10/15/11,120
2/24/11,93
2/28/13,135
10/31/13,133
1/22/17,330
4/19/16,387
4/21/14,222
7/10/2012,145
11/5/2015,171
2/25/11,127
10/16/11,161
3/1/2013,137
11/1/2013,135
12/9/2014,218
7/11/2012,121
11/6/2015,199
1/23/17,345
4/22/14,200
2/26/11,127
4/20/16,337
11/2/2013,204
10/17/11,130
3/2/2013,210
7/12/2012,153
11/7/2015,259
2/27/11,191
12/10/2014,244
11/3/2013,247
10/18/11,125
3/3/2013,266
7/13/12,146
11/8/2015,283
1/24/17,294
4/23/14,176
2/28/11,126
4/21/16,431
11/4/2013,200
10/19/11,110
3/4/2013,207
7/14/12,149
11/9/2015,289
12/11/2014,97
11/5/2013,153
3/1/2011,102
10/20/11,121
7/15/12,171
3/5/2013,172
1/25/17,294
4/24/14,159
4/22/16,421
11/6/2013,185
11/10/2015,266
3/2/2011,117
7/16/12,181
10/21/11,105
3/6/2013,150
12/12/2014,200
11/7/2013,153
3/3/2011,88
11/11/2015,232
1/26/17,239
7/17/12,129
10/22/11,122
4/25/14,140
4/23/16,446
11/8/2013,171
3/7/2013,168
11/12/2015,152
12/13/14,215
3/8/2013,182
10/23/11,181
3/4/2011,82
11/9/2013,236
7/18/12,120
1/27/17,245
4/24/16,506
4/26/14,172
11/13/15,195
3/5/2011,106
10/24/11,146
7/19/12,103
11/10/2013,248
3/9/2013,233
11/14/15,224
12/14/14,247
1/28/17,222
4/27/14,253
3/6/2011,195
7/20/12,121
4/25/16,452
11/11/2013,188
3/10/2013,247
10/25/11,105
11/15/15,246
3/7/2011,152
11/12/2013,160
7/21/12,145
10/26/11,107
3/11/2013,210
11/16/15,280
12/15/14,210
1/29/17,318
4/28/14,193
3/8/2011,104
4/26/16,360
7/22/12,189
11/13/13,164
11/17/15,219
10/27/11,101
3/12/2013,173
3/9/2011,84
11/14/13,173
7/23/12,181
11/18/15,151
4/29/14,129
1/30/17,270
12/16/14,192
10/28/11,100
3/10/2011,140
4/27/16,318
3/13/13,131
7/24/12,139
