DATE,TEMP,PRICE,SALES,COUPON,HOLIDAY
10/20/16,65.45,5.99,171,0,0
5/23/11,55,5.99,150,0,0
2/6/2012,57,5.99,177,0,0
10/13/10,73.4,5.79,86,0,0
10/22/12,55,5.99,194,0,0
5/31/15,59.9,5.99,217,0,0
6/5/2013,59.55,5.99,166,0,0
5/24/11,55.45,5.99,109,0,0
2/15/16,64.9,5.99,167,0,1
2/7/2012,55.45,5.99,138,0,0
10/14/10,71.55,5.79,128,0,0
10/23/12,53.1,5.99,159,0,0
1/19/14,51.1,5.99,236,0,0
10/2/2014,71,5.99,157,0,0
6/1/2015,63,5.99,209,0,0
6/6/2013,60.45,5.99,207,0,0
10/21/16,62.55,5.99,178,0,0
5/25/11,56.45,5.99,130,0,0
2/8/2012,53.8,5.99,158,0,0
10/15/10,65.9,5.79,108,0,0
10/24/12,54,5.99,162,0,0
2/16/16,64.45,5.99,208,0,0
6/7/2013,70,5.99,236,0,0
6/2/2015,60.9,5.99,204,0,0
2/9/2012,56.45,5.99,155,0,0
10/25/12,55,5.99,171,0,0
5/26/11,57.9,5.99,110,0,0
10/16/10,59,5.79,135,0,0
1/20/14,51.55,5.99,199,0,1
10/3/2014,72.05,5.99,166,0,0
10/22/16,59,5.99,234,0,0
6/3/2015,58.45,5.99,158,0,0
6/8/2013,70.1,5.99,258,0,0
2/17/16,64.9,5.99,129,0,0
5/27/11,57.2,5.99,137,0,0
10/17/10,57,5.79,180,0,0
10/26/12,57,5.99,123,0,0
2/10/2012,56.45,5.99,151,0,0
10/23/16,62.1,5.99,281,0,0
1/21/14,48.45,5.99,143,0,0
10/4/2014,72.5,5.99,170,0,0
6/4/2015,60.55,5.99,169,0,0
5/28/11,57,5.99,164,0,0
10/18/10,57.9,5.79,147,0,0
2/11/2012,52,5.99,196,0,0
6/9/2013,63.95,5.99,342,0,0
10/27/12,60.45,5.99,148,0,0
2/18/16,52,5.99,152,0,0
10/24/16,64,5.99,230,0,0
10/5/2014,69.55,5.99,218,0,0
10/19/10,60.1,5.79,100,0,0
6/5/2015,63.5,5.99,186,0,0
5/29/11,55.2,5.99,165,0,0
10/28/12,57.9,5.99,173,0,0
6/10/2013,63.95,5.99,222,0,0
1/22/14,50.55,5.99,155,0,0
2/12/2012,51.1,5.99,207,0,0
5/30/11,,,,,1
10/25/16,66,5.99,199,0,0
10/20/10,57.2,5.79,125,0,0
6/6/2015,61.55,5.99,191,0,0
2/13/12,48.2,5.99,169,0,0
10/29/12,58.35,5.99,159,0,0
2/19/16,53.1,5.99,179,0,0
6/11/2013,63,5.99,166,0,0
1/23/14,53.55,5.99,140,0,0
10/6/2014,66,5.99,199,0,0
10/30/12,57.55,5.99,160,0,0
6/7/2015,66.1,5.99,188,0,0
6/12/2013,62.55,5.99,170,0,0
2/14/12,46.9,5.99,123,0,0
10/21/10,59.55,5.79,119,0,0
10/26/16,63,5.99,165,0,0
10/31/12,59,5.99,132,0,0
2/20/16,53.1,5.99,191,0,0
1/24/14,51.55,5.99,161,0,0
10/7/2014,61,5.99,189,0,0
6/8/2015,75.1,5.99,221,0,0
10/22/10,59,5.79,121,0,0
2/15/12,48,5.99,122,0,0
6/13/13,60.1,5.99,210,0,0
11/1/2012,59,5.99,127,0,0
10/27/16,64,5.99,177,0,0
6/9/2015,71.1,5.99,166,0,0
10/23/10,59.2,5.79,155,0,0
2/21/16,52.55,5.99,236,0,0
2/16/12,51.1,5.99,124,0,0
1/25/14,54.95,5.99,182,0,0
10/8/2014,64.9,5.99,158,0,0
6/14/13,64.45,5.99,155,0,0
11/2/2012,55,5.99,147,0,0
6/10/2015,69.1,5.99,188,0,0
2/17/12,52,5.99,133,0,0
10/28/16,63,5.99,203,0,0
10/24/10,62.6,5.79,206,0,0
6/15/13,58,5.99,176,0,0
11/3/2012,61.1,5.99,174,0,0
10/9/2014,61,5.99,148,0,0
2/22/16,51.1,5.99,168,0,0
2/18/12,52,5.99,174,0,0
1/26/14,52,5.99,220,0,0
6/11/2015,62.8,5.99,162,0,0
